TrialNumber	Set	randomize	block	condition	type	Instruction	Question	Responsebutton	ITI	key	keyboard
					instructions	common_instructions.wav			500		return
1	Music		1	deletion	practice		td_eg01.wav	yes-no	500		2 minus
2	Music		1	deletion	practice		td_eg02.wav	yes-no	500		2 minus
3	Music		1	deletion	practice		td_eg03.wav	yes-no	500		2 minus
4	Music	yes	2	deletion	test		td_1.wav	yes-no	500		2 minus
5	Music	yes	2	deletion	test		td_2.wav	yes-no	500		2 minus
6	Music	yes	2	deletion	test		td_3.wav	yes-no	500		2 minus
7	Music	yes	2	deletion	test		td_4.wav	yes-no	500		2 minus
8	Music	yes	2	deletion	test		td_5.wav	yes-no	500		2 minus
9	Music	yes	2	deletion	test		td_6.wav	yes-no	500		2 minus
10	Music	yes	2	deletion	test		td_7.wav	yes-no	500		2 minus
11	Music	yes	2	deletion	test		td_8.wav	yes-no	500		2 minus
12	Music	yes	2	deletion	test		td_9.wav	yes-no	500		2 minus
13	Music	yes	2	deletion	test		td_10.wav	yes-no	500		2 minus
14	Music	yes	2	deletion	test		td_11.wav	yes-no	500		2 minus
15	Music	yes	2	deletion	test		td_12.wav	yes-no	500		2 minus
16	Music	yes	2	deletion	test		td_13.wav	yes-no	500		2 minus
17	Music	yes	2	deletion	test		td_14.wav	yes-no	500		2 minus
18	Music	yes	2	deletion	test		td_15.wav	yes-no	500		2 minus
19	Music	yes	2	deletion	test		td_16.wav	yes-no	500		2 minus
20	Music	yes	2	deletion	test		td_17.wav	yes-no	500		2 minus
21	Music	yes	2	deletion	test		td_18.wav	yes-no	500		2 minus
22	Music	yes	2	deletion	test		td_19.wav	yes-no	500		2 minus
23	Music	yes	2	deletion	test		td_20.wav	yes-no	500		2 minus
24	Music		3	addition	practice		ma_eg01.wav	yes-no	500		2 minus
25	Music		3	addition	practice		ma_eg02.wav	yes-no	500		2 minus
26	Music		3	addition	practice		ma_eg03.wav	yes-no	500		2 minus
27	Music	yes	4	addition	test		ma_01.wav	yes-no	500		2 minus
28	Music	yes	4	addition	test		ma_02.wav	yes-no	500		2 minus
29	Music	yes	4	addition	test		ma_03.wav	yes-no	500		2 minus
30	Music	yes	4	addition	test		ma_04.wav	yes-no	500		2 minus
31	Music	yes	4	addition	test		ma_05.wav	yes-no	500		2 minus
32	Music	yes	4	addition	test		ma_06.wav	yes-no	500		2 minus
33	Music	yes	4	addition	test		ma_07.wav	yes-no	500		2 minus
34	Music	yes	4	addition	test		ma_08.wav	yes-no	500		2 minus
35	Music	yes	4	addition	test		ma_09.wav	yes-no	500		2 minus
36	Music	yes	4	addition	test		ma_10.wav	yes-no	500		2 minus
37	Music	yes	4	addition	test		ma_11.wav	yes-no	500		2 minus
38	Music	yes	4	addition	test		ma_12.wav	yes-no	500		2 minus
39	Music	yes	4	addition	test		ma_13.wav	yes-no	500		2 minus
40	Music	yes	4	addition	test		ma_14.wav	yes-no	500		2 minus
41	Music	yes	4	addition	test		ma_15.wav	yes-no	500		2 minus
42	Music	yes	4	addition	test		ma_16.wav	yes-no	500		2 minus
43	Music	yes	4	addition	test		ma_17.wav	yes-no	500		2 minus
44	Music	yes	4	addition	test		ma_18.wav	yes-no	500		2 minus
45	Music	yes	4	addition	test		ma_19.wav	yes-no	500		2 minus
46	Music	yes	4	addition	test		ma_20.wav	yes-no	500		2 minus
47	Music		5	reversal	practice		tr_eg01.wav	yes-no	500		2 minus
48	Music		5	reversal	practice		tr_eg02.wav	yes-no	500		2 minus
49	Music		5	reversal	practice		tr_eg03.wav	yes-no	500		2 minus
50	Music	yes	6	reversal	test		tr_01.wav	yes-no	500		2 minus
51	Music	yes	6	reversal	test		tr_02.wav	yes-no	500		2 minus
52	Music	yes	6	reversal	test		tr_03.wav	yes-no	500		2 minus
53	Music	yes	6	reversal	test		tr_04.wav	yes-no	500		2 minus
54	Music	yes	6	reversal	test		tr_05.wav	yes-no	500		2 minus
55	Music	yes	6	reversal	test		tr_06.wav	yes-no	500		2 minus
56	Music	yes	6	reversal	test		tr_07.wav	yes-no	500		2 minus
57	Music	yes	6	reversal	test		tr_08.wav	yes-no	500		2 minus
58	Music	yes	6	reversal	test		tr_09.wav	yes-no	500		2 minus
59	Music	yes	6	reversal	test		tr_10.wav	yes-no	500		2 minus
60	Music	yes	6	reversal	test		tr_11.wav	yes-no	500		2 minus
61	Music	yes	6	reversal	test		tr_12.wav	yes-no	500		2 minus
62	Music	yes	6	reversal	test		tr_13.wav	yes-no	500		2 minus
63	Music	yes	6	reversal	test		tr_14.wav	yes-no	500		2 minus
64	Music	yes	6	reversal	test		tr_15.wav	yes-no	500		2 minus
65	Music	yes	6	reversal	test		tr_16.wav	yes-no	500		2 minus
66	Music	yes	6	reversal	test		tr_17.wav	yes-no	500		2 minus
67	Music	yes	6	reversal	test		tr_18.wav	yes-no	500		2 minus
68	Music	yes	6	reversal	test		tr_19.wav	yes-no	500		2 minus
69	Music	yes	6	reversal	test		tr_20.wav	yes-no	500		2 minus
