TrialNumber	Set	randomize	block	condition	type	Instruction	Question	Responsebutton	ITI	key	keyboard
					instructions	common_instructions.wav			500		return
1	Language		1	deletion	practice		pd_eg1.wav	yes-no	500		2 minus
2	Language		1	deletion	practice		pd_eg2.wav	yes-no	500		2 minus
3	Language		1	deletion	practice		pd_eg3.wav	yes-no	500		2 minus
4	Language	yes	2	deletion	test		pd1.wav	yes-no	500		2 minus
5	Language	yes	2	deletion	test		pd2.wav	yes-no	500		2 minus
6	Language	yes	2	deletion	test		pd3.wav	yes-no	500		2 minus
7	Language	yes	2	deletion	test		pd4.wav	yes-no	500		2 minus
8	Language	yes	2	deletion	test		pd5.wav	yes-no	500		2 minus
9	Language	yes	2	deletion	test		pd6.wav	yes-no	500		2 minus
10	Language	yes	2	deletion	test		pd7.wav	yes-no	500		2 minus
11	Language	yes	2	deletion	test		pd8.wav	yes-no	500		2 minus
12	Language	yes	2	deletion	test		pd9.wav	yes-no	500		2 minus
13	Language	yes	2	deletion	test		pd10.wav	yes-no	500		2 minus
14	Language	yes	2	deletion	test		pd11.wav	yes-no	500		2 minus
15	Language	yes	2	deletion	test		pd12.wav	yes-no	500		2 minus
16	Language	yes	2	deletion	test		pd13.wav	yes-no	500		2 minus
17	Language	yes	2	deletion	test		pd14.wav	yes-no	500		2 minus
18	Language	yes	2	deletion	test		pd15.wav	yes-no	500		2 minus
19	Language	yes	2	deletion	test		pd16.wav	yes-no	500		2 minus
20	Language	yes	2	deletion	test		pd17.wav	yes-no	500		2 minus
21	Language	yes	2	deletion	test		pd18.wav	yes-no	500		2 minus
22	Language	yes	2	deletion	test		pd19.wav	yes-no	500		2 minus
23	Language	yes	2	deletion	test		pd20.wav	yes-no	500		2 minus
24	Language		3	addition	practice		pa_eg1.wav	yes-no	500		2 minus
25	Language		3	addition	practice		pa_eg2.wav	yes-no	500		2 minus
26	Language		3	addition	practice		pa_eg3.wav	yes-no	500		2 minus
27	Language	yes	4	addition	test		pa1.wav	yes-no	500		2 minus
28	Language	yes	4	addition	test		pa2.wav	yes-no	500		2 minus
29	Language	yes	4	addition	test		pa3.wav	yes-no	500		2 minus
30	Language	yes	4	addition	test		pa4.wav	yes-no	500		2 minus
31	Language	yes	4	addition	test		pa5.wav	yes-no	500		2 minus
32	Language	yes	4	addition	test		pa6.wav	yes-no	500		2 minus
33	Language	yes	4	addition	test		pa7.wav	yes-no	500		2 minus
34	Language	yes	4	addition	test		pa8.wav	yes-no	500		2 minus
35	Language	yes	4	addition	test		pa9.wav	yes-no	500		2 minus
36	Language	yes	4	addition	test		pa10.wav	yes-no	500		2 minus
37	Language	yes	4	addition	test		pa11.wav	yes-no	500		2 minus
38	Language	yes	4	addition	test		pa12.wav	yes-no	500		2 minus
39	Language	yes	4	addition	test		pa13.wav	yes-no	500		2 minus
40	Language	yes	4	addition	test		pa14.wav	yes-no	500		2 minus
41	Language	yes	4	addition	test		pa15.wav	yes-no	500		2 minus
42	Language	yes	4	addition	test		pa16.wav	yes-no	500		2 minus
43	Language	yes	4	addition	test		pa17.wav	yes-no	500		2 minus
44	Language	yes	4	addition	test		pa18.wav	yes-no	500		2 minus
45	Language	yes	4	addition	test		pa19.wav	yes-no	500		2 minus
46	Language	yes	4	addition	test		pa20.wav	yes-no	500		2 minus
47	Language		5	reversal	practice		r_eg1.wav	yes-no	500		2 minus
48	Language		5	reversal	practice		r_eg2.wav	yes-no	500		2 minus
49	Language		5	reversal	practice		r_eg3.wav	yes-no	500		2 minus
50	Language	yes	6	reversal	test		r1.wav	yes-no	500		2 minus
51	Language	yes	6	reversal	test		r2.wav	yes-no	500		2 minus
52	Language	yes	6	reversal	test		r3.wav	yes-no	500		2 minus
53	Language	yes	6	reversal	test		r4.wav	yes-no	500		2 minus
54	Language	yes	6	reversal	test		r5.wav	yes-no	500		2 minus
55	Language	yes	6	reversal	test		r6.wav	yes-no	500		2 minus
56	Language	yes	6	reversal	test		r7.wav	yes-no	500		2 minus
57	Language	yes	6	reversal	test		r8.wav	yes-no	500		2 minus
58	Language	yes	6	reversal	test		r9.wav	yes-no	500		2 minus
59	Language	yes	6	reversal	test		r10.wav	yes-no	500		2 minus
60	Language	yes	6	reversal	test		r11.wav	yes-no	500		2 minus
61	Language	yes	6	reversal	test		r12.wav	yes-no	500		2 minus
62	Language	yes	6	reversal	test		r13.wav	yes-no	500		2 minus
63	Language	yes	6	reversal	test		r14.wav	yes-no	500		2 minus
64	Language	yes	6	reversal	test		r15.wav	yes-no	500		2 minus
65	Language	yes	6	reversal	test		r16.wav	yes-no	500		2 minus
66	Language	yes	6	reversal	test		r17.wav	yes-no	500		2 minus
67	Language	yes	6	reversal	test		r18.wav	yes-no	500		2 minus
68	Language	yes	6	reversal	test		r19.wav	yes-no	500		2 minus
69	Language	yes	6	reversal	test		r20.wav	yes-no	500		2 minus
