TrialNumber	Set	block	type	Condition	Instruction	Question	Responsebutton	CorrectAnswer	keyboard
				Instruction	common_instructions.wav				
1	Language	1	deletion	Practice		pd_eg1.wav	yes-no		2 minus
2	Language	1	deletion	Practice		pd_eg2.wav	yes-no		2 minus
3	Language	1	deletion	Practice		pd_eg3.wav	yes-no		2 minus
4	Language	1	deletion	Test		pd1.wav	yes-no		2 minus
5	Language	1	deletion	Test		pd2.wav	yes-no		2 minus
6	Language	1	deletion	Test		pd3.wav	yes-no		2 minus
7	Language	1	deletion	Test		pd4.wav	yes-no		2 minus
8	Language	1	deletion	Test		pd5.wav	yes-no		2 minus
9	Language	1	deletion	Test		pd6.wav	yes-no		2 minus
10	Language	1	deletion	Test		pd7.wav	yes-no		2 minus
11	Language	1	deletion	Test		pd8.wav	yes-no		2 minus
12	Language	1	deletion	Test		pd9.wav	yes-no		2 minus
13	Language	1	deletion	Test		pd10.wav	yes-no		2 minus
14	Language	1	deletion	Test		pd11.wav	yes-no		2 minus
15	Language	1	deletion	Test		pd12.wav	yes-no		2 minus
16	Language	1	deletion	Test		pd13.wav	yes-no		2 minus
17	Language	1	deletion	Test		pd14.wav	yes-no		2 minus
18	Language	1	deletion	Test		pd15.wav	yes-no		2 minus
19	Language	1	deletion	Test		pd16.wav	yes-no		2 minus
20	Language	1	deletion	Test		pd17.wav	yes-no		2 minus
21	Language	1	deletion	Test		pd18.wav	yes-no		2 minus
22	Language	1	deletion	Test		pd19.wav	yes-no		2 minus
23	Language	1	deletion	Test		pd20.wav	yes-no		2 minus
24	Language	2	addition	Practice		pa_eg1.wav	yes-no		2 minus
25	Language	2	addition	Practice		pa_eg2.wav	yes-no		2 minus
26	Language	2	addition	Practice		pa_eg3.wav	yes-no		2 minus
27	Language	2	addition	Test		pa1.wav	yes-no		2 minus
28	Language	2	addition	Test		pa2.wav	yes-no		2 minus
29	Language	2	addition	Test		pa3.wav	yes-no		2 minus
30	Language	2	addition	Test		pa4.wav	yes-no		2 minus
31	Language	2	addition	Test		pa5.wav	yes-no		2 minus
32	Language	2	addition	Test		pa6.wav	yes-no		2 minus
33	Language	2	addition	Test		pa7.wav	yes-no		2 minus
34	Language	2	addition	Test		pa8.wav	yes-no		2 minus
35	Language	2	addition	Test		pa9.wav	yes-no		2 minus
36	Language	2	addition	Test		pa10.wav	yes-no		2 minus
37	Language	2	addition	Test		pa11.wav	yes-no		2 minus
38	Language	2	addition	Test		pa12.wav	yes-no		2 minus
39	Language	2	addition	Test		pa13.wav	yes-no		2 minus
40	Language	2	addition	Test		pa14.wav	yes-no		2 minus
41	Language	2	addition	Test		pa15.wav	yes-no		2 minus
42	Language	2	addition	Test		pa16.wav	yes-no		2 minus
43	Language	2	addition	Test		pa17.wav	yes-no		2 minus
44	Language	2	addition	Test		pa18.wav	yes-no		2 minus
45	Language	2	addition	Test		pa19.wav	yes-no		2 minus
46	Language	2	addition	Test		pa20.wav	yes-no		2 minus
47	Language	3	reversal	Practice		r_eg1.wav	yes-no		2 minus
48	Language	3	reversal	Practice		r_eg2.wav	yes-no		2 minus
49	Language	3	reversal	Practice		r_eg3.wav	yes-no		2 minus
50	Language	3	reversal	Test		r1.wav	yes-no		2 minus
51	Language	3	reversal	Test		r2.wav	yes-no		2 minus
52	Language	3	reversal	Test		r3.wav	yes-no		2 minus
53	Language	3	reversal	Test		r4.wav	yes-no		2 minus
54	Language	3	reversal	Test		r5.wav	yes-no		2 minus
55	Language	3	reversal	Test		r6.wav	yes-no		2 minus
56	Language	3	reversal	Test		r7.wav	yes-no		2 minus
57	Language	3	reversal	Test		r8.wav	yes-no		2 minus
58	Language	3	reversal	Test		r9.wav	yes-no		2 minus
59	Language	3	reversal	Test		r10.wav	yes-no		2 minus
60	Language	3	reversal	Test		r11.wav	yes-no		2 minus
61	Language	3	reversal	Test		r12.wav	yes-no		2 minus
62	Language	3	reversal	Test		r13.wav	yes-no		2 minus
63	Language	3	reversal	Test		r14.wav	yes-no		2 minus
64	Language	3	reversal	Test		r15.wav	yes-no		2 minus
65	Language	3	reversal	Test		r16.wav	yes-no		2 minus
66	Language	3	reversal	Test		r17.wav	yes-no		2 minus
67	Language	3	reversal	Test		r18.wav	yes-no		2 minus
68	Language	3	reversal	Test		r19.wav	yes-no		2 minus
69	Language	3	reversal	Test		r20.wav	yes-no		2 minus
70	Music		deletion	Practice		md_eg1.wav	yes-no		2 minus
71	Music		deletion	Practice		md_eg2.wav	yes-no		2 minus
72	Music		deletion	Practice		md_eg3.wav	yes-no		2 minus
73	Music		deletion	Test		md1.wav	yes-no		2 minus
74	Music		deletion	Test		md2.wav	yes-no		2 minus
75	Music		deletion	Test		md3.wav	yes-no		2 minus
76	Music		deletion	Test		md4.wav	yes-no		2 minus
77	Music		deletion	Test		md5.wav	yes-no		2 minus
78	Music		deletion	Test		md6.wav	yes-no		2 minus
79	Music		deletion	Test		md7.wav	yes-no		2 minus
80	Music		deletion	Test		md8.wav	yes-no		2 minus
81	Music		deletion	Test		md9.wav	yes-no		2 minus
82	Music		deletion	Test		md10.wav	yes-no		2 minus
83	Music		deletion	Test		md11.wav	yes-no		2 minus
84	Music		deletion	Test		md12.wav	yes-no		2 minus
85	Music		deletion	Test		md13.wav	yes-no		2 minus
86	Music		deletion	Test		md14.wav	yes-no		2 minus
87	Music		deletion	Test		md15.wav	yes-no		2 minus
88	Music		deletion	Test		md16.wav	yes-no		2 minus
89	Music		deletion	Test		md17.wav	yes-no		2 minus
90	Music		deletion	Test		md18.wav	yes-no		2 minus
91	Music		deletion	Test		md19.wav	yes-no		2 minus
92	Music		deletion	Test		md20.wav	yes-no		2 minus
93	Music		addition	Practice		ma_eg1.wav	yes-no		2 minus
94	Music		addition	Practice		ma_eg2.wav	yes-no		2 minus
95	Music		addition	Practice		ma_eg3.wav	yes-no		2 minus
96	Music		addition	Test		ma1.wav	yes-no		2 minus
97	Music		addition	Test		ma2.wav	yes-no		2 minus
98	Music		addition	Test		ma3.wav	yes-no		2 minus
99	Music		addition	Test		ma4.wav	yes-no		2 minus
100	Music		addition	Test		ma5.wav	yes-no		2 minus
101	Music		addition	Test		ma6.wav	yes-no		2 minus
102	Music		addition	Test		ma7.wav	yes-no		2 minus
103	Music		addition	Test		ma8.wav	yes-no		2 minus
104	Music		addition	Test		ma9.wav	yes-no		2 minus
105	Music		addition	Test		ma10.wav	yes-no		2 minus
106	Music		addition	Test		ma11.wav	yes-no		2 minus
107	Music		addition	Test		ma12.wav	yes-no		2 minus
108	Music		addition	Test		ma13.wav	yes-no		2 minus
109	Music		addition	Test		ma14.wav	yes-no		2 minus
110	Music		addition	Test		ma15.wav	yes-no		2 minus
111	Music		addition	Test		ma16.wav	yes-no		2 minus
112	Music		addition	Test		ma17.wav	yes-no		2 minus
113	Music		addition	Test		ma18.wav	yes-no		2 minus
114	Music		addition	Test		ma19.wav	yes-no		2 minus
115	Music		addition	Test		ma20.wav	yes-no		2 minus
116	Music		reversal	Practice		mr_eg1.wav	yes-no		2 minus
117	Music		reversal	Practice		mr_eg2.wav	yes-no		2 minus
118	Music		reversal	Practice		mr_eg3.wav	yes-no		2 minus
119	Music		reversal	Test		mr1.wav	yes-no		2 minus
120	Music		reversal	Test		mr2.wav	yes-no		2 minus
121	Music		reversal	Test		mr3.wav	yes-no		2 minus
122	Music		reversal	Test		mr4.wav	yes-no		2 minus
123	Music		reversal	Test		mr5.wav	yes-no		2 minus
124	Music		reversal	Test		mr6.wav	yes-no		2 minus
125	Music		reversal	Test		mr7.wav	yes-no		2 minus
126	Music		reversal	Test		mr8.wav	yes-no		2 minus
127	Music		reversal	Test		mr9.wav	yes-no		2 minus
128	Music		reversal	Test		mr10.wav	yes-no		2 minus
129	Music		reversal	Test		mr11.wav	yes-no		2 minus
130	Music		reversal	Test		mr12.wav	yes-no		2 minus
131	Music		reversal	Test		mr13.wav	yes-no		2 minus
132	Music		reversal	Test		mr14.wav	yes-no		2 minus
133	Music		reversal	Test		mr15.wav	yes-no		2 minus
134	Music		reversal	Test		mr16.wav	yes-no		2 minus
135	Music		reversal	Test		mr17.wav	yes-no		2 minus
136	Music		reversal	Test		mr18.wav	yes-no		2 minus
137	Music		reversal	Test		mr19.wav	yes-no		2 minus
138	Music		reversal	Test		mr20.wav	yes-no		2 minus
