TrialNumber;Set;Type;Condition;Question;Responsebutton;CorrectAnswer
1;Language;Deletion;Practice;pd_eg1.wav;yes-no;
2;Language;Deletion;Practice;pd_eg2.wav;yes-no;
3;Language;Deletion;Practice;pd_eg3.wav;yes-no;
4;Language;Deletion;Test;pd_1.wav;yes-no;
5;Language;Deletion;Test;pd_2.wav;yes-no;
6;Language;Deletion;Test;pd_3.wav;yes-no;
7;Language;Deletion;Test;pd_4.wav;yes-no;
8;Language;Deletion;Test;pd_5.wav;yes-no;
9;Language;Deletion;Test;pd_6.wav;yes-no;
10;Language;Deletion;Test;;yes-no;
11;Language;Deletion;Test;;yes-no;
12;Language;Deletion;Test;;yes-no;
13;Language;Deletion;Test;;yes-no;
14;Language;Deletion;Test;;yes-no;
15;Language;Deletion;Test;;yes-no;
16;Language;Deletion;Test;;yes-no;
17;Language;Deletion;Test;;yes-no;
18;Language;Deletion;Test;;yes-no;
19;Language;Deletion;Test;;yes-no;
20;Language;Deletion;Test;;yes-no;
21;Language;Deletion;Test;pd_18.wav;yes-no;
22;Language;Deletion;Test;pd_19.wav;yes-no;
23;Language;Deletion;Test;pd_20.wav;yes-no;
24;Language;Addition;Practice;pa_eg1.wav;yes-no;
25;Language;Addition;Practice;pa_eg2.wav;yes-no;
26;Language;Addition;Practice;pa_eg3.wav;yes-no;
27;Language;Addition;Test;pa_1.wav;yes-no;
28;Language;Addition;Test;pa_2.wav;yes-no;
29;Language;Addition;Test;;yes-no;
30;Language;Addition;Test;;yes-no;
31;Language;Addition;Test;;yes-no;
32;Language;Addition;Test;;yes-no;
33;Language;Addition;Test;;yes-no;
34;Language;Addition;Test;;yes-no;
35;Language;Addition;Test;;yes-no;
36;Language;Addition;Test;;yes-no;
37;Language;Addition;Test;;yes-no;
38;Language;Addition;Test;;yes-no;
39;Language;Addition;Test;;yes-no;
40;Language;Addition;Test;;yes-no;
41;Language;Addition;Test;;yes-no;
42;Language;Addition;Test;;yes-no;
43;Language;Addition;Test;;yes-no;
44;Language;Addition;Test;pa_18.wav;yes-no;
45;Language;Addition;Test;pa_19.wav;yes-no;
46;Language;Addition;Test;pa_20.wav;yes-no;
